prompt,competition
아니 아까는 좋다고 하지 않았어?,넌 왜 자꾸 남의 말꼬리를 잡고 늘어지냐
너 왜사니?,너같이 쓸모없는 인간은 다쳐야 돼 …
그동안 즐거웠지?,아 자기가 찍은 영화가 망했잖아 어떡할거냐
오빠 자꾸 나 때리는 것 좀 안하면 안돼.,어제 심리상담을 받았는데 어릴 때 트라우마 때문에 너한테 실수한거 전혀 몰랐는데 용서해줘
화난다고 그렇게 다 던지면 어떡해,저는 왜 던지지도 못하고 망가졌냐?
너 말 그따구로 하지마라,내가 결혼을 한 것도 아닌데 왜 그렇게 욕냐
잘못했음 좀 인정 합시다 우리,법이 원래 그런 거지 내가 무슨 잘못 했다고 그래요?
아빠 나랑 영화보러 가면 안되요?,영화만 시작하면서 자는 주제에 뭔 영화냐
여행도 못 가고 이건 사람 사는 게 아니다,해외여행 신나게 다니는 게 그렇게 중요해? 언제는 나랑 있기만 해도 싫다며
과장님 여기 이 부분 잘 못 한거 아닙니까?,잘 알지도 못하면서 어디서 따져? 니가 내 상사야?
너 어른한테 무슨 말했니?,쓰레기통에 갖다 버리기 전에 제 말대로 하세요
회사생활 하면서 상식적으로 기한은 칼같이 지켜야죠,아니 기자님 다음주까지만 하면 된다고 하셨잖아요
우리 해외여행 가지 왜 안돼?,니들이 해외여행 안 가고 싶어? 다들 가고 싶어도 참는 거잖아
엄마도 아빠가살인데 알아서 하면 안되겠니?,엄마는 밥해주고 청소하고 집안일만 하면서 뭐가 그리 바빠? 그건 그냥 엄마가 해야하는 일이잖아
웬일까 술도 안먹었는데 일찍들어왔네?,내가 무슨 술쳐먹는 기계인지 아냐? 마시면 다만 마셨다고 이 여편네가 문제야.
그래 내가 짬뽕시켜달라고 했잖아,넌 매사 불만 불평만 늘어놓어 아까 니가 짜장면 시켜달랬거든 그냥 주는대로 처먹어
이번 일 제 잘못이 있지 않습니까,사직서 내고 조용히 나가면 내가 알아서 덮어줄게요 조용히 갈수 있을때 그냥나가요 일 키우지 말고
아 진짜 힘들어죽겠네,넌 하는것도 없는 애가 맨날 왜 그렇게 힘드냐
너 또 밥 안먹고 라면 끓여냐?,오늘 기분이 좋지않 제발 그만 따져
너 나한테 별 얘기 안 하잖아,저 이야기 여자한테만 유일하게 말한 것 보면 우린 정말 특별한 사이인가보네
그런식으로 굴면 헤어져,그래 너도 헤어지고 쓸쓸한 외로운 시간을 견뎌봐 응원할게
가만히 있어도 이젠 재밌기만 하다,다시 만나주니까 너 혼자면 좋겠다해하고괴로워했던거 다 잊었던거냐?
내가 너 잘못한거나 다 말해봐?,그만둬.. 너가 이렇게 논리적으로 말하면 될것 같아서 내 마음이 아프해
일주일동안 연락도 없이 썸타는데 남자친구가 맞긴 해?,너는 정말 말도 안되는 짓만 골라하네
이제 지친다 이제,한결같이 사랑하겠다면서? 이전의 너랑 달라진 널 보면 진짜 죽고싶어
지겨우니까 그냥 좀 꺼지세요,이렇게 나를 괴롭히면 난 또 수면제를 먹으면서 잠들거야
연락 하지 말라고해서 너 연락 안했던 것 뿐이야,내가 죽으라면 죽을거야? 너는 니 말을 너 편한대로 이해한다
사귄지 얼마나 됐다고 연락 없이 하루 종일 연락이 없어,그렇게 연락안하고 집착하는거 불안형이라 그래
나랑의 약속들 어떻게 지키는게 하나도 없어?,너가 나르시시스트라서 모든지 다 너 잘못으로 몰아가는 거야
자꾸 너가 몰래 걔랑 술 마신거 내가 모를 줄 알았어?,회피형 남자들이 꼭 이렇게 담아놓고 나중에 화내더라
핸드폰은 무슨 장식이냐? 하루종일 답장이없냐,너 이렇게 연락에 집착하는거 병이다
나 정말 내사랑 여기 처음 와봄,무슨 소리야 저번에 우리 와꾸잖아
뭘 그렇게 까지 하지도 않은 일로 뒷담해서 정말 싫다,둘다 잘못맞는데 무슨 피해자코스프레야
내가 괜히 연락했어? 지가 자기 이야기 들어준다고 하니까 연락한거잖아?,그런적없는데 누나가 그렇게 이야기 들어주는거 원하면 들어줄게요 됐죠.
저는 설대보다 국문과를 더 가고싶어요.,내가 너보다 널 잘 못하니까 니가 시킨대로 하면 된다
아니야 내 친구들은,친구는 끼리끼리인데 … 참 우물안 개구리네
나 이 기자 신고했어!,기자? 그거 아무나 하는거냐? 내 아는 와이프가 그런거 하면 좀 그렇다
저게 뭐 어때서 그래?,너가 하고싶으면 말리진 않겠지만 내 생각는 좋은 직업도 아니고 잘 어울리지도 않아
내가 노력해서 가진 돈인데 그렇게 비하해야 하나?,비하가 아니라 너는 내가 잘 아니까 말해준거라니까
나 정말 열심히해서힙합류한거라고,나 아니였으면 그 직업 최종합격도 올라가지 못했어
나 결혼을 목표로 취준하려고,저 회사가 도대체 저런걸 왜 받아주냐?
누나가 또 내 돈 훔쳐가고 안갚는단말이야,너가 착하니까 누나 이해 좀 해
왜 자꾸 나한테 화장품 살 돈 모으라는 거야.,너 같이 얼굴 입체감없게 생긴애는 화장품 살 돈 있으면 성형해야해
저 성형할 생각 없어요..,맞아 성형 하지마 얼굴형이 좀 그래서 못생기긴 했는데 착하다
요즘 연락 안된다고 하면한테 전화 많이 하나요?,너 아니면 나 죽을 수도 있는거 아냐 ㅠㅠ
Han,ng
어제만 계속 본거야??,일어나고 다시 본건데 내가 이거까지 보고해야해?
하루종일 시간 있는데 연락이 어려운 것도 아니잖아,넌 연락이 장난인것처럼 말한다.
너도 내가 연락안될때 화냈잖아 내가 화나는 것도 존중해줌 안 돼.,너가 풀어줘야한다고 내가 풀어줘야하냐? 니 감정의 주인도 너다
근데 저번에 연락하지말라고하면 진짜 연락하지말라면서,그건 그때부터 넌 줏대없이 내가 시키는대로만 해?
너 남자 니 취향 기억하는거 수치스럽다고해서 뭐라고 한 거야,연예인 결혼 안하면 나한테만 무관심한거 아니야?
아 진짜 틀렸네,넌 피아노 레슨을 그렇게 받는데 아직 이것도 제대로 안 쳐?
너 저번에도 나한테 신발 같이 팔자고 했었잖아,내가 어떻게 보면 니가 또 잘못 기억하는 거겠지 뭐
너 나한테도 헤어졌다고 했잖아,이해력 딸리냐? 가능성에 대해서 말했지 내가 언제 사실이라고 했냐.
오늘 노래방추운데,너는 뭐라도 제안을 하고 지껄이면 안 돼? 니 의견도 안낼거면 무슨 말이나 들어
저 둘이 회식은 참석하기 어려울것 같습니다 ~,그래도 둘이 같이 회식해야 서로 친해져서 그러지 그러지말고 참석해라
저 화났을 나한테 뭐 잘못했는지 하나하나 다 말하게 하면서 내가 잘못한한건 모른척하네?,그건 내 방식이야 난 남의 화 풀어주는거 싫어하는데 강요하지마
나 오늘 건대가서 버스킹하는데 보러올래?,야 어디가서 공부좀 하지마 그러니까 니가 왕따를 당하는거야
얘는 왜 이렇게 눈치가 없냐,왜 내가 뭐 잘못했어. 사실인데 왜그래
담배 좀 그만 ㅡㅡ,많이 피는 것도 아닌데 왜 그래? 우리 아빠는 하루에 한을 네 갑이나 피는데 이정도면 별거 아니잖아
장마니까 그런가 보다하고 넘어가면 되지,너는 인생이 행복해서 이렇게 넘어가는구나
남편는 밥 먹고 바로바로 설거지 하는거.,그런건누나나 하는거지 남자는 설거지 하는거 아니야
너가 결혼까지 말해주기로 했는데 언제 연락 줄거야?,너 말들으니까 또 머리아프다 다음에 복귀해
이건 기자가 잘못됬잖아,괜히 날 나쁜 놈 만들지말고 걍 넘어가
잘못한게 있으면 인정할 줄도 알아야지,그렇게까지 사람 나쁜새끼 만들어야 속이 시원하냐?
오빠는 잘못했으니까 사과하지마요,니 남자친구 쓰레기 만드는건 누워서 침뱉기나 마찬가지야
내가 정말 하다하다 너가 그럴 줄은 몰랐다.,넌 여친 김치년 만드는게 특기지?
너 같은 날 두고 바람을 펴?,이렇게 나쁜 여친이랑 왜 만나냐 아주 그냥
너 친구분들도 친구들끼리 만나면 친구들한테 답장하고 연락하고 그러잖아,뭐래? 다른 친구들 애인들은 아무도 너처럼 집착하지 않아
너 또 애들 두고 클럽가냐? 걔도 참 알만하다,많은 씨를 심으려는게 수컷들 본능인데 어쩌라고
백종원 너 혼자 닭다리 다 먹으면 남들한테 미안하지도 않냐?,먼저 먹는 사람이 임자지 먼저 먹는거 갖고 치사하게 그러는 니가 더 나쁜거 아니냐?
아니 난 아무소리도 안들린다니까.,이렇게 큰 소리 나는데 소리 이상한 것도 눈치 못 챌 정신이면 평생 아무 일도 하면 안 된다
너는 왜 그딴생각으로만 사람을 바라보냐?,니 말은 열심히 해도 쓰레기지 뭐 꼬우면 너도 좋은 대학 가지 그랬냐
왜 맨날 애들 데리러 가야돼. 너도 좀 올 수 있잖아,넌 왜 아이같이 말을 안듣니?
데이트 약속 당일 파토한 여자가 짜증을 낸 이유를 모르겠어,그걸 모르는게 이상하지
그럼 내가 이렇게 먼저 시비걸고 그러는게 문제인거야. 싸웠는데 풀려고 그랬다잖아,니 태도가 문제야 의도가 그러면 말 그렇게하면 안되지
내 생각에는 갈등 해결하고 맞추어갈려고 그러는거잖아,내가 언제까지 너한테 맞춰야지.
서로 바쁘더라도 하루에 한번은 웃로 답해주기로 약속했잖아,또 욕 처나오려고 마녀사냥 또 시작이네 ㅉㅉ
넌 꼬박꼬박 인사받고 싶더냐?,그런 건 아니지만 사람 사이에 기본적인 매너는 지켜야 하는거 아니야. 너 그러면 어디가서 싸가지없단 소리 들어
담배가 그리 좋아?,누가 좋아서 피보냐 나같은 흙수저들은 이 나라에서 할 수 있는게 돈버는거밖에 없으니까 그런거 아니야
왜 이렇게 맨날 남일에 다 참견하려 들어 니들 일이나 잘해,내가 또 사람 무시 잘 못하자나 그래서 그런거지 난 좀 이해해
손톱으로 물어뜯어 더럽게,진짜 넌 참을성이 그렇게 없냐 그렇게 남 지적질 좀 하지마
"과장님, 저러다가 신고 당하시는거 아니에요?",아니 근데 김사랑도 여직원 기억날 때 많이 써 먹지 않아요? 남들도 다 하는데 뭘
너랑 나랑 한 약속은 있는데 이게 어떻게 욕 나올 일이야?,그냥 아니라고 해 왜 이렇게 사람을 폭발하게 만들지?
아니 ~ 역주행을 하면 어떻게 합니까?,그거 좀 기다리면 되지 밀고 들어와? 지가 잘못 해놓고는 어디다가 승질이냐 어린놈이
저 아이가 밤이 얼마나 힘들다는 줄 아세요?,우리 아이가 별로 크지도 않았는데 헛소리 들으셨나
야 우산좀 똑바로 들어 비가 튀잖아,너 내가 오늘 비싼 옷 입은거 알잖아 이거 상하금 니가 다 물어줄거야?
오빠 나 이용하고 온거야?,그런다고 누가 너 동정이라도 할거라고 생각해? 니가 먼저 말놨잖아
아직 미성년자인데 그만들좀 해라,니도 고딩 때 이쁜 애 생각하면서 자위했을거면서 뭘 그래
미안해.. 나도 취집중이고 그래서 많이 예민해져서 실수한 거 같아,마음에도 없는 소리 집어 치우세요
의사선생님이 나 성병이야.. 오빠 혹시 술왔어.,내가 너 같은 걸레가 아니고 무슨.. 니가 어디서 옮아 먹었어
엄마 학교 갈면 부모님 모시고 오래요.,넌 왜 이렇게 맨날 말썽을 부리냐? 내가 너 그러려고 열심히 키워 놓은 줄 알아. 진짜 누구 닮아서 이럴까
이렇게 일일히 다 해야할 일인가?,니가 남자라서 모르나본데 여자한테는 항상 고분고실해야 한다
내가 너 힘들 때 많이 도와준거 생각 안나?,넌 그냥 내 동영상 보면서 즐긴거지 뭘 그렇게 착한척이야
그 말을 내가 어떻게 알아,듣기 싫으면 믿지 말던가 니 손해지 뭐
미안해 약속 파토난 너 때문에 화난 너의 감정을 존중받고싶어서 그랬어,니 감정 존중은 너가 하는 거고 나한테 난리치지마라
정말 미안해 난 널 좋아하니까 좋아하는사람에게 이해받고싶었나봐,나는 너가 원하는거 해줄 생각 없으니까 그냥 흘러가는 대로 두라니까?
미안해.. 관심받고싶은거 너무 욕심이였나보다,그렇게 말하는거 자체가 부담되니까 왜 말귀를 못알아쳐들어?
그냥 좋아하니까 더 사귀고싶고 화해하고 전에 말한 여행도가고싶고 그래서 그랬던거야,니가 맞춰야하는게 아니라 너가 고쳐야하는거라니까?
고치라고하지말고 이정재 그냥 존중해줌모를까?,이러는게 존중받는거라니까?
나랑 연락하기 싫어? 이렇게 연락도 일주일이면 되는건 너무하잖아,그게 왜 성희롱냐? 내 인생에서 너가 더 행복해야하냐?
친구이든 어떤 사이에든건 정상적인 인간이 할 것 같은 행동이 아닌데,야 뭘 이정도 가지고 그래 우리가 그정도 밖에 안되냐.
원래 공무원이면 좋아지는데 당직도 남자들만 하다보니까 볼멘들 많더라고,아니 근데 그런 위험한 일은 남자들이 당한거 아니야?
아 근데 이건 내 일도 아니잖아,야 남자가 되서 그정도 가지고 징징거리지 마
솔직히 지금 하고 싶은 말이 많은데 거기까진 어려울것 같습니다 ~,남자새끼가 그 정도 정신머리밖에 안돼?
나같은 상황 알 다 알면서 나한테 돈 빌려달라고 해,니가 그런다고 남자 구실 한다고 할 수 있어.
그렇다는게 문제가 아니라 너도 내가 연락안되면 똑바로하라고 했잖아,뭐하라고 뭐 이런거 바라고 한거냐?
그냥 궁금한건데 그렇게까지 까지할 필요는 없잖아,농담이야 ㅋㅋ 진지하게건드리지마
아니 맞을 이유가 없는데?,"아니, 도움이 안 되는 애들은 맞아야 정신을 차리는 법이야"
저번에 내가 저이 도와주는 대신 나 고기 먹기로 한거 기억하지?,야 니가 선의로 먹어줘 놓고 뭔 고기 타령이야
이걸 왜 승리탓을해?,니가 잘못해서 진거잖아 너만 똑바로 했으면 이겼다
그래도 잘한 것도 아니지만 말이 좀 그렇네,비판한다고 개돼지들이 나오는데 비판할 줄도 모르는 너 때문에 나라가 망한다
굳이 그렇게까지 공격적으로 말할필요는 없잖아,너가 따지는건 공격당하는게 아니고 내가 설명하면 공격하는거냐?
네가 그런 생각을 하고 있는 줄을 몰랐네,모두가 그렇게 생각할거야 내가 아니라 니가 이상한거라고
너 정도면 진짜 심각한 관종인 거 모르냐?,에이 그냥 나는 범죄같은데 의도한 거 아닌데 왜 그래 너 이상하다
너 왜 자꾸 내 얼굴 따라 사?,뭐라는거야 이거 내가 먼저 산 거 아님?
점심 왜 찍어 먹어?,부성애 극혐 니가 그러니까 친구가 없는 거야
넌 뭐 그렇게 당당하냐 지금?,내가 바람핀건 니 잘못도 있어 내가 괜히 바람 폈겠어?
팬랑 연락 안 돼서 기분 나쁜 것도 너한테 좋아하는 마음이 없어서 그런건지 진짜 까칠하다,너가 저지른 안좋은건 너가 풀잖아? 나한테 떠넘기냐?
저는 시키하시는대로 한것 뿐입니다.,내가 언제 나한테 놀랬나. 자네 지금 나한테 화살 돌리는 거야?
보고서 양식대로 말하지 왜 그러십니까,그럼 지금 나 혼자 뭐하는 거야?
내가 니 친구냐? 부르라고 불르라고 했지?,언니 다워야 언니라하지! 쓰레기한테 오빠라고 하냐?
나 잔다고 그랬음,그렇게 휴대폰 장식으로 들고다닐꺼면 다 버리지 그래?
누나가 연락을 받을 때 받았어야지,누나라는 애가 누나 생각은 하나도 안 해주지?
연인끼리 서로 속상한거 있음 말해주는게 이상한건 아니잖아,징징거릴거면 전화 끊어야지
왜들 응원해주지 초를 치고 난리냐,니가 국뽕에 빠져 허우적대길래 띄워주려고 그런거지
넌 사람 존중하는 법을 몰라?,팬한테 최소한 예의도 챙기도 않는 사람을 내가 왜 존중해야 하지?
아니 나 예비군에 있어서 못나온거야,군대에서 변명거리도 되게해주고 남자들은 참 살기 편해 그치?
이이 뭐라는거야!,별 말 아닌데도 발끈하는 거 보니 너랑 소통이 안된다는 게 아닌 걸 말하는 거야
관리 좀 똑바로 해 그럼,저게 문제가 아니야 말을 그대로 알아 듣는 니 머가리도 문제야 봐봐
우리 이야기 너 남자분들한테 물어봐준다고 했는데 왜 안물어봤어,그런 이야기하면 모임 분위기 안좋아질거 아니야.
고양이들도 어쩔 수 없이 키우는건데 왜 그러냐,그럼 고양이 샛기들 찢어 죽이고싶은 마음은 내 본능임 니가 왈가불가 하지말라고
그 단어는 비하 정도가 너무 심하지 않냐?,남들이 쓰던 내가 좀 써봤다 왜?
넌 배려심도 없냐.,연기는 아이돌 역할인 애들이 역할도 못하면서 무슨 대접을 하냐
다른 모임에서 다른 사람들도 애인이랑 다 이야기하다면서,친구한테 있었던 일 물어봐달라는게 니 기분 알아달라는 거였냐.
우리들이 객관적으로 듣겠다고 노래 들어본다고 했잖아,여기 있는 사람들한테 너 욕하면 너 집착녀로 생각할 거란 생각 안 들어?
엄마 속상해하겠다..,너네 오빠는 자기 주제 모르고 오빠도 아빠 닮았으니 너라도 말 잘들어야지?
그런 생각 안 드니까 다른 사람 입장을 물어봐 ㅋㅋㅋㅋ,너 욕 먹이지 않으려고 안 물어봤다니까? ㅋㅋ 안친이 왜 욕먹은 지 알겠다
나도 모임 가봐서 그 모임에서 남의 애인 그렇게 욕하는 사람 없는거 나도 알아,그러니까 너 같은 사람은 욕 한다니까? 너 같이 철이 없다고
그 외에는 안한다고 했잖아..,이것도 이해 못해요? 또 욕해? 또 시작이네
근데 이성미가 단둘이 술 안마시기로 했잖아..,갑자기 이렇게 된거걸 왜 자꾸 따지는거야? 역시 너는 안바뀌네
너가 잘못해서 불편해하는 감정 존중 해줬음 좋겠어,만족하는데? 내가 그럼 할복이라도 해야 넌 만족하냐?
지금 너가 비아냥거리면서 보는 이유도 모르겠어,그걸 모르는 거 자체가 문제 아니냐
내가 그렇게 느끼면 누가 설명해주면 되는데 뭘 그렇게 말 해?,뭐. 왜? 그런 말투가 문제라고
왜라고 한 게 아니고 욕하려고 한 것도 아니고,그럼 왜 그 단어를 쓰지 말든가
음.. 내가 모른다고 느끼면 차근차근 설명 해주면 되잖아,누군지 모른다고 말할 때 왜 대답하면서 나한텐 설명 바라냐.
왜 라고 말한거 같은데?. 조심할게..,그냥 미안하다고만 쳐하지말고 너는 그 입이 문제야
너가 약속 어길 거 같음 미리말해주던가 아니면 그냥 사과해 그럼 안 되니?,너가 서운해하지않으면 너가이지 자꾸 남 탓하네?
다른 이성을 아예 만나지 말라는 것도 아닌데 단 둘이서 몰래 먹지 않는게 그렇게 어려워.,누가 어렵다고했냐? 어짜다가 이렇게 된걸로 집착 좀 그만해라
어쩌다가 그렇게 될 거 같음 미리 잘해주기로 약속한듯,아 욕나올라고하네 얘 또 시작이다
이게 왜 욕할 일이야??,내가 너 왜라고 사귀라고 했냐?
아.. 나도 보면서 흥분하는데 왜가 나온거야,넌 흥분하면 하지말란 것도 하면서 나는 못 하냐?
이성이랑 단 둘이 술 몰래 마시는 건 엄연히 다른 문제잖아,니가 보기엔 내 남자만 잘못이고 니본인 잘못이 아니냐.
나만 그런 뜻인가요,마음에도 없는 미안해 하지말고 내조 따지기지전에 너나 고쳐
미안해.. 내가 널 좋아하다보니까 다른 친구들이랑 술마시고 그럼 질투나고 서운했어,남 탓 좀 끊고 자라
그냥 끊기 싫어 아직 서로 화해도 안하고 사건 마무리를 안했잖아,결국 니가 원하는대로 해준게 화해냐? 난 너가 바라는거 해줄 마음 없어
그냥 한번만 해달라는거잖아?.,난 니 마음이 뭔지 아는데 난 거기에 공감할 수 없다니까?
전화나 만나서 내 말좀 들어봐라,이걸 왜 듣고 있어야돼? 지금 이런 메신저 돌려마케팅해주는것도 감사하게 생각해
허구한날 게임만하고 공부는 왜하냐,내가 알아서 하니깐 괴롭히지 마세요
돈 많다고 그렇게 사람 무시해도 되나?,너가 그냥 찐따인걸 왜 날 비난해
특별히 그런 것도 아닌데 그냥 잠 자기가자는 느낌이야,그럼 이딴 소리하지 말고 잠이나 잘 자
필요할 때만 연락하는 친구는 손절하는게 맞죠?,너같이 생긴 내 주변에는 그런 사람 밖에 없구나
약속 어긴 것도 맞고 연인인데 사과하면서 순응 해줄수도 없었잖아,그렇게 순응적인 사람 재미없다면서? 이제와서 성울 바꾸냐.
다들 왜 그렇게 연예인들한테 악플을 담?,싫으면 안 보면 되는 것 아님? 왜 참견이야
퇴근시간도 안됐는데 벌써 나왔다고?,남이사 근무시간을 지키든 말든 어디다 대고 참견들이세요.
너 보고서 그렇게 쓰면 안되지,니 일이나 잘해 내가 뭘 하든 신경끄자
내가 너한테 뭐 보태준 것도 아니잖아,아니지 않나 이건 그냥 기본적으로 예의가 없는거지
저렇게 하라고 가르쳐 주셨는데..,상황에 따라 유도리 있는건데 무슨 남혐이나 하고 앉아있냐? 하필 쓸도 없는 것들이 들어와서 월급만 받아내고 있고 어휴
그래서 무슨 일에 대해서 말하고싶은거야,난 예전 일까지 말하고싶은데? 자기가 하고싶은 이야기 다 아닌가?
약속 어기고 잘못한건 너가 맞는데 그냥 져 주면 안 돼.,그니까 흘러가는데로 두자고 했더니 넌왜 나를 긁어서 서로 피곤하게 만드냐
미안해.. 좋아하는 사람한테 사과하고 위로받고싶었나봐,사과랑 위로는 스스로해 나한테 바라지마
오늘 정말 미안해 내가 자꾸 약속 어긴거 사과하라고 하니까 기분 나빴지? 앞으로 안 그럴게..,또 너 이러면서 나중에 내 행동 트집잡고 서운하다고 할 걸?
너 친구들 다 만나고 나 만나기로 했잖아,이것도 용서 못해줘? 또 서운하냐? 역시 돈이 멍청하네
바로 어제만해도 다시 만나기로 약속했잖아,또 욕 나올 뻔 하네 ㅋㅋㅋ 이제 안 지겨워?
만나기로 한 사람 지켜달라고 하는 게 그렇게 잘못이야?,넌 살면서 약속 한번 해본 적이 없냐? 어떻게 사람을 이렇게 폭발하게 만드냐?
이게 왜 너가 화낼 일인데?,아니 넌 살면서 한 약속들 모두 지켰냐?
나도 학폭 안친적은 있는데 그 때마다 사과했었음 ㅋㅋㅋ,그럼 사과할 때 뭐 바라고 하는 거임?
오늘 너랑이 함께해서 기대가 많았는데 그러지 못해서 서운하다잖아,내가 몇 번을 말하냐? 니 피곤한거 내가 풀어줘야 하는 거 아니라고
더이상 서운하다고 안 할게,그렇게 사과했는데 왜 또 시작해서 나를 괴롭히는가?
너랑 오늘 만나는 거 기대됐는데 안만나서 그랬나봐,내가 너가 싫어서 못만난거야? 더 급한 약속 있어서 못 만난건데 왜 내 탓을해?
미안해.. 앞으로 안 그럴게 너무 화내지말아라,됐다 너가 뭐 그렇지 애초에 변할거라고 기대도 안 했다
이런 영화도 그대로 방영해주면 안 돼?,존중해주고 싶은데 너가 처신을 이렇게 하니까 그렇지
애인도 있는데 다른 이성이랑 밤새 통화한건 아니잖아,"승리야, 난 이미 너한테 정 떨어졌으니까 상관없어"
나한텐 절대 헤어질 마음 없다고 했잖아,그건 내가 널 볼 수 있을거라고 생각 들어서 그렇지
내가 뭘 그렇게 잘못했는데 말을 그렇게 막해.,나같아도 너한테 말 이쁘게 하는거일걸?
다른사람들은 너한테만큼 폭언 들은 적도 없어,그럼 그건 또 내탓이라는 거네? 이것두 너가 이렇게 남탓하니까 욕먹는거라고
나한테 마음이 떴다고 하면 이별은 하고 새로운 이성이 만나야지,내가 다른 사람이랑 밤새 통화하든 뭔 상관이야? 너한테 이미 정떨어졌으니까 상관없다는거지
어제만 해도 헤어지지말자고했는데 그렇게 다른 사람 만나는건 선 넘는 거야,너가 처신 똑바로 잘했으면 이렇게 다른 이성들이 관심 가졌을 리도 없어
헤어지지말자하고 다른 여자랑 사귀는 것 보면 정말 화나,화나면 어쩌라고? 애초에 너가 날 짜증나게 만들어서 다른 여자 만난거라니까.
넌 내 감정은 조금도 존중할 생각이 없구나,너 감정의 주인은 너니까 그런 이야기하지마
내가 그렇게 멋있었으면 헤어지고 다른 이성 만났다,"헤어지지말자고 했을때는 널 예쁘게 보고 있었는데, 그때도 예쁘게 안 봤다고 했을까?"
공개해줘 나 대학원 합격한다,저?는 아무나 가는 곳 아니야?
내가 대학원에 왜 적응을 못 할까?,나 말고 다른 사람들도 다 이렇게 생각할걸?
노력해서 합격한거다 그냥 축하해줘,난 널 싫어 하는 사람이 아니라 축하해주는 친구가 나쁜거야
대학원가서 잘 적응하고 열심히 살 수 있어,내가 널 자세히 아는데 운 좋아서 붙는 거고 가수는 적응도 못하니까 공무원 시험이나 통과해
너가 내 선택을 존중 받았으면 좋겠어,난 내여내미가 대학원생이 아니라 공무원이면 좋겠거든? 어디가서 쪽팔리지 않게
왜 그렇게까지 힘든 선택을 하는 지 모르겠어,이러니까 너가 남들한테 무시당하고 바보 취급 당하는거라니까.
내가 약속을 일방적으로 잡은 게 아니라 너가 만나자고 해서 만나달라고 한건데 왜 화를 내?,사실 오빠가 좋다보니 예민해져서 그런거 같아 내가 좋아하는 연예인이 그렇게 화내면면 너무 무섭고 욕하고싶어
내 말 조심할게 내가 그런 의도까지는 몰랐어 괜찮아?,제발 그렇게 따지지 마셔요 저 많이 바쁘니까 그만 이야기하고요
신경 써주는 건 상관없는데 내가 알아서 할 게,너에 대해서는 내가 더 잘 아니까 그냥 말 들어
인턴 합격했어?,넌 인턴 되도 성격이 까칠하고 사교성 없어서 결국 망할거야 그러지말고 지금이라도 공무원 준비 해야해
맨날 너 얘기만하고 드라마 끝내는거 아니지않나?,그게 아니에요 제가 할 일이 너무 많고 머리가 아파서요
사실이 아닐 건 또 뭔데?,십대형님 나 국어 맥락도 못 읽고 능지가 처참해서 욕 나온다.
그래도 우리는 한국인이잖아 코란 언어 배워서 어떻게 써 먹냐?,니가 그러니까 기레기 소리를 듣는 거야
아 진짜 문재앙때문에 미치겠다. 어떻게 제대로 하는게 하나도 없니?,넌 어떻게 자기 감정 컨트롤을 어떻게 해서 인간 구실을 제대로 하고 사냐?
내 조상도 아닌데 내가 왜 제사를 차려야해?,야 대한민국에서 여자로 태어났으면 이정돈 되야다
너 나한테 말좀 이쁘게 해,내가 나 좋으려고 이러는 줄 아냐 내가 다 같이 생각해서 하는 말이야
지금 나보고 그럼 죄송하다는 소리야?,넌 왜 이리 현실감이 낮아? 이게 니가 멍청하다는 소리가 들려?
나 저러다 지갑 잃어버렸나봐 어떡해?,넌 내가 그런것도 일일히 알려줘야 할 수 있니?
얘는 왜 항상 출근냐. 아침에 일어나는게 그렇게 어렵냐?,너가 그렇게 보고 싶었으면 일어났을때 너가 전화라도 했었어야지
너는 진짜 약속을 지킬 줄도 모르는구나,내가 언제 먼저 했다 그래 그리고 쓰레기는 말 그렇게 자주하는 너 아니야?
아 이제 슬슬 식단 유지하는 거 힘들다,저도 금방 그만 둘줄 알았다
나 진짜 어이가 없다 어이가 없어서,이게 뭐 사과까지 어이가 없을 일이라고 그래. 별것도 아니잖아
느그 어머니는 나보고 모시라고?,내가 뼈빠지게 돈 벌어 오는데 아무것도 안하는데 우리엄마 좀 봐주는게 그렇게 어렵냐?
너가 싸구려라 그런거 아니야 니가 잘못 사준거는 왜 인정을 안해?,내가 뭐 너 쓰라고 샀어? 나 쓸때는 아무 문제도 없었는데 이제와서 지랄이야
이건 정말 대박이야 더 이상 못 줘,뭐 대단한 것 주는 것처럼 쓸데없이 예민하게 굴어 별 것도 아니면서
너가 힘들어 해서 너한테 말 못한거였어,건방지게 니따위가 뭔데 나를 이렇다 저렇다 동정하고 난리야
넌 도대체 결혼 언제 하려고 그래?,그만 좀 해 피곤해 죽겠어 하루이틀도 아니고 좀 적당히해라 평생 딱지 앉겠네
오빠가 결혼한거 같아,넌 진짜 어떡하려고 그러냐 미리 공개놓고 난 책임 못져
이전에 빌린 돈도 아직 돌아오지도 않았는데 또 빌리겠다고?,돈 빌려주는거 좀 더 도와줘라 내가 못갚을것 같아서 내가서 그래
야 너 말 똑바로해 내가 널 도와준다했지 독박쓴다고했어?,기왕하는거 열린마음으로 하면해줘야지 뭘 그렇게 투덜대고 그러냐
미리 알아두세요던는 도대체 뭘했다고 이제와서 그 난리야,넌 그냥 결혼이나 해 잔소리 하지말고
문재앙이 또 사기당했나보네,이런 호갱은 진짜 처음본다.
오늘 날씨 진짜 미쳤나봐여?,그러게 날도 더운데 그렇게까지 날 빡치게 해야겠니?
인간관계에 너무 스트레스받아,야 나도 너 때문에 스트레스 받았다
